phase,throttle,T4_K,Fn_kN,Fg_kN,Fram_kN,W_kgs,BPR,OPR,N1_pct,N2_pct,fuel_kgs,SFC_g_kNs,EGT_C,VBV,LPC_Rline,valid,validity
takeoff,100,1700.0,113.66087648044734,146.11379732989178,32.45292084944442,381.4438477488714,5.546316158320733,26.42000660170937,100.22153680890929,100.26196152483838,1.5273950722343335,13.438177845629102,797.9301270757204,0.0,2.0593786910277516,True,
takeoff,95,1665.0,108.58187886467,140.47398914390183,31.892110279231844,374.85221481843257,5.594914165259474,25.482567102218145,99.29970403283984,99.62512178928583,1.4378556881070819,13.242133062544807,772.5104057392706,0.0,1.886021398717903,True,
takeoff,90,1630.0,102.72549049704605,134.00126662153062,31.275776124484572,367.6079709928457,5.63331531201551,24.335542383774975,98.28628259572395,98.87329831843266,1.3418820707570305,13.062795458695009,747.2714723104673,0.009230769230769232,1.8255907667509563,True,
takeoff,85,1595.0,96.51708481131192,127.1514664188538,30.63438160754188,360.06917368080536,5.658535947964058,23.088430612288857,97.23256684583747,98.04048968975032,1.2450645136898397,12.899939074246848,722.1831595605646,0.025384615384615384,1.841984891750297,True,
takeoff,80,1560.0,90.59036420891695,120.59627445307073,30.00591024415377,352.6822720159944,5.680490079344221,21.904889223612113,96.20376558910725,97.21582397630462,1.1543927948230275,12.742997612425967,697.1870977097977,0.04153846153846154,1.8540453085136903,True,
takeoff,75,1525.0,84.77075026485896,114.13153442131771,29.360784156458767,345.0996147163581,5.697422278778588,20.76586712586112,95.20776821038102,96.40122047187415,1.068650034117361,12.606353379891713,672.2817140285406,0.057692307692307696,1.8621666460768853,True,
takeoff,70,1490.0,78.99119932744854,107.67727167650543,28.686072349056893,337.1692139634973,5.707938203266006,19.664332157083706,94.24756121591983,95.59776754623887,0.9873377348557298,12.499338448614251,647.4662919080105,0.07384615384615385,1.8668469058987402,True,
takeoff,65,1455.0,73.49910026528913,101.52662043308327,28.02752016779412,329.4287495803481,5.713836161961238,18.623785465814343,93.30903242752649,94.804848011214,0.9115175863608732,12.401751627854264,622.7419232549701,0.09,1.872227088441628,True,
takeoff,60,1420.0,68.05691812506126,95.39578366072007,27.33886553565881,321.3344682097925,5.717618382574857,17.60413519884923,92.32671479675557,93.97849895135926,0.8389991672123603,12.327904206161923,598.593682980638,0.10615384615384615,1.868478881774148,True,
takeoff,55,1385.0,62.70517221273184,89.32063547338186,26.615463260650017,312.8317713792122,5.717812017457622,16.60664898386105,91.29390291642562,93.12851444121134,0.7701255223313856,12.281690571212833,575.4925275872278,0.1223076923076923,1.8598317491891208,True,
takeoff,50,1350.0,57.31784148301024,83.14350594401058,25.825664461000336,303.5486657233781,5.71065908906686,15.620990009931246,90.18796777179375,92.26938003417357,0.7044702891920008,12.290593486511789,553.435452565666,0.13846153846153847,1.8553460073158246,True,
takeoff,45,1315.0,51.79600342057066,76.73648490588894,24.940481485318276,293.1444373405963,5.693166057964411,14.636912589855358,88.98347898934263,91.39727296605179,0.6415459675769052,12.386012920103342,532.4657493111426,0.1546153846153846,1.854837669150683,True,
takeoff,40,1280.0,46.618959475151016,70.67874291039563,24.059783435244608,282.79292369769473,5.665812108216454,13.71071306767204,87.78056428465442,90.52624850948666,0.5835022723701597,12.516415615865043,512.3408770579224,0.17076923076923076,1.8545508933333301,True,
takeoff,35,1245.0,41.77428434998848,64.95852781644024,23.184243466451754,272.502036904989,5.625650308151845,12.844159769280802,86.57952455567049,89.66642578239981,0.5300792128735837,12.689127321309336,492.92774461707666,0.18692307692307691,1.8607263765492046,True,
takeoff,30,1210.0,37.25022687280607,59.56532115473348,22.31509428192742,262.2862658577295,5.571347894561997,12.035485843538867,85.38134300115026,88.82205923239013,0.4809575862344607,12.91153441499107,474.0945180451208,0.20307692307692307,1.875155598060124,True,
takeoff,25,1175.0,32.86056472825239,54.26758666812495,21.407021939872557,251.61300135267456,5.504962490680061,11.252577087035638,84.13574349993236,87.95021403900893,0.4348291394081664,13.232552240172403,455.9534134264219,0.2192307692307692,1.884003694870271,True,
takeoff,20,1140.0,28.67119249127687,49.14418758209776,20.472995090820884,240.6346737976334,5.423066343107252,10.50571667095777,82.86059098790992,87.08033954305164,0.3920245008319675,13.673114606280846,438.3771148972239,0.23538461538461536,1.89392565608146,True,
takeoff,15,1105.0,24.827333425108698,44.38356914086368,19.556235715754976,229.85930399017343,5.328981374593508,9.808183888395865,81.59591341122284,86.2169455076415,0.35284334438255416,14.211890513610781,421.21196241937344,0.25153846153846154,1.9031629953427713,True,
takeoff,10,1070.0,21.237943782760176,39.87115376186479,18.633209979104617,219.0102808716526,5.227274520211931,9.138233831147879,80.17299240393749,85.33747099769256,0.31648671170624676,14.901946956049187,404.67722409082455,0.2676923076923077,1.9211001788883058,True,
takeoff,5,1035.0,17.868789816699483,35.558059850014224,17.689270033314745,207.91543715523213,5.156073442743683,8.43508869525207,77.92375347643191,84.34576104864503,0.2815674735319409,15.757501007079885,389.4560360482502,0.2838461538461538,1.9777563305450572,False,FAN off map (R-line 2.63)
takeoff,0,1000.0,14.857556630857673,31.633708124920332,16.77615149406266,197.1828608586641,5.075924021644404,7.782271108182194,75.7308368298059,83.36432765080146,0.24984325055991155,16.815904308317553,374.405505100706,0.3,2.026858583804103,False,FAN off map (R-line 2.68)
climb,100,1700.0,69.02225524524526,111.71046550707403,42.688210261828765,264.85378767547115,5.367187012853164,29.438690219250102,101.76584492831599,99.02284095655907,1.1112638051829378,16.100079622644458,798.8019338142732,0.0,2.8783634227494015,True,
climb,95,1665.0,66.3694427543122,108.53462056887764,42.16517781456544,261.608696726818,5.425563336713032,28.491282212200193,100.1163345807223,98.28061927048255,1.0520481923862737,15.851394086293112,773.4083876241426,0.0,2.562223391527693,True,
climb,90,1630.0,62.961042942563104,104.49619441907505,41.53515147651194,257.6997752483744,5.496475518059657,27.190885425926034,98.13017049729673,97.39815770866171,0.9837792546930776,15.6252058211701,748.2416567560044,0.009230769230769232,2.402971756101525,True,
climb,85,1595.0,58.937928825891916,99.7044178168214,40.76648899092949,252.93070272221604,5.555858908649106,25.7140722027642,96.49898326170191,96.4856480870324,0.9115171925396862,15.465714705251894,723.2480081204984,0.025384615384615384,2.364347740796309,True,
climb,80,1560.0,54.93847518946491,94.89385135095836,39.95537616149345,247.89825222146504,5.598103543479287,24.334981515727918,95.45287123421602,95.64554774024339,0.8436938995772408,15.357068005029541,698.1770733937336,0.04153846153846154,2.3600243567112553,True,
climb,75,1525.0,51.125634885540705,90.29653114249084,39.17089625695012,243.0310424509168,5.639784051806021,23.026693573870553,94.43976080503312,94.80337676839456,0.780257459162382,15.261570069676601,673.2026616039724,0.057692307692307696,2.351132139240048,True,
climb,70,1490.0,47.503431029450816,85.91005653791125,38.40662550846042,238.28921792125118,5.678647130307742,21.78949091067082,93.45516119878425,93.9657241579522,0.721095984767738,15.179871624865967,648.3814405725543,0.07384615384615385,2.339343149863674,True,
climb,65,1455.0,44.071967017121665,81.73634300355175,37.66437598643009,233.68402140201866,5.714036526606059,20.622146755780236,92.5022703331357,93.13641409521571,0.6659885313515126,15.11138658941137,623.6516320237595,0.09,2.326063128155455,True,
climb,60,1420.0,40.68892873551279,77.58007193185198,36.89114319633919,228.886592979643,5.744222141096666,19.497251210919856,91.59601641350268,92.31839616765896,0.6138957649367891,15.087538158776555,599.010993017347,0.10615384615384615,2.311730335643275,True,
climb,55,1385.0,37.36853607212676,73.4610997811761,36.092563709049344,223.93190406972212,5.770398861787395,18.412441162634245,90.70890275834108,91.50802398829616,0.5647109490245293,15.11193662857315,574.4631256871779,0.1223076923076923,2.29623965930298,True,
climb,50,1350.0,34.07523666407419,69.32912034690682,35.25388368283263,218.72841626292887,5.793752776231721,17.355891048095337,89.8076469085773,90.70159264939107,0.5180407255770108,15.202850406705625,550.0122566157447,0.13846153846153847,2.2805245198136705,True,
climb,45,1315.0,30.96357809164953,65.40189150955192,34.43831341790238,213.66831014797611,5.811264617486995,16.364667182867773,88.92643123637986,89.91643913840595,0.47474945888125913,15.332512847063137,525.6774172056348,0.1546153846153846,2.277373294391133,True,
